epoch,val_Accuracy,val_CohenKappa,val_F1Score,val_Recall,val_Precision,val_AUROC,val_loss
1,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.4424342105263158,0.6692440509796143
2,0.5098039215686274,-0.015936254980079667,0.490203918432627,0.4917763157894737,0.49216300940438873,0.5016447368421053,0.6978611946105957
3,0.6666666666666666,0.21110100090991812,0.5904581955597544,0.5953947368421053,0.6414634146341464,0.611842105263158,0.6571783423423767
4,0.49019607843137253,0.14671814671814665,0.45476973684210525,0.59375,0.7111111111111111,0.90625,1.078662395477295
5,0.8627450980392157,0.6826666666666666,0.837800999545661,0.8157894736842105,0.9102564102564102,0.9161184210526315,0.33387288451194763
6,0.8235294117647058,0.592,0.7914584279872785,0.7738486842105263,0.8557692307692307,0.9325657894736842,0.37903523445129395
7,0.6078431372549019,-0.038696537678207577,0.3780487804878048,0.484375,0.31,0.38980263157894735,4.9123640060424805
8,0.6666666666666666,0.29454841334418225,0.6471306471306472,0.6488486842105263,0.6459677419354839,0.6233552631578947,0.9192864894866943
9,0.6078431372549019,0.013539651837524147,0.4551282051282051,0.5057565789473684,0.5152173913043478,0.5296052631578947,1.89838707447052
10,0.6078431372549019,0.013539651837524147,0.4551282051282051,0.5057565789473684,0.5152173913043478,0.5345394736842105,2.00880765914917
11,0.6470588235294118,0.06517311608961318,0.44024390243902434,0.5263157894736842,0.8200000000000001,0.5509868421052632,4.1088457107543945
12,0.5882352941176471,-0.022922636103151817,0.4436363636363637,0.4901315789473684,0.47777777777777775,0.5707236842105263,3.042340040206909
13,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5,20.074071884155273
14,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5,20.07363510131836
15,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5,19.874248504638672
epoch,val_Accuracy,val_CohenKappa,val_F1Score,val_Recall,val_Precision,val_AUROC,val_loss
1,0.6274509803921569,0.02613065326633157,0.4303350970017637,0.5106907894736842,0.5663265306122449,0.4375,0.6777225136756897
2,0.35294117647058826,-0.039530574428659815,0.2608695652173913,0.47368421052631576,0.18,0.48848684210526316,0.7839711904525757
3,0.6862745098039216,0.23018867924528297,0.5870445344129555,0.600328947368421,0.698051948051948,0.5756578947368421,0.6440269947052002
4,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.462171052631579,5.03309965133667
5,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.6940789473684209,6.414222240447998
6,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.606907894736842,2.368709087371826
7,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5148026315789473,2.359375476837158
8,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.4144736842105263,1.5813815593719482
9,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5921052631578947,1.6970372200012207
10,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.569078947368421,1.3686727285385132
11,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5707236842105263,1.3886927366256714
12,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.59375,1.417119026184082
13,0.37254901960784315,0.0,0.2714285714285714,0.5,0.18627450980392157,0.5493421052631579,0.9476818442344666
epoch,val_Accuracy,val_CohenKappa,val_F1Score,val_Recall,val_Precision,val_AUROC,val_loss
1,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.44078947368421056,0.6692616939544678
epoch,val_Accuracy,val_CohenKappa,val_F1Score,val_Recall,val_Precision,val_AUROC,val_loss
1,0.6274509803921569,0.0,0.3855421686746988,0.5,0.3137254901960784,0.42598684210526316,0.6695955395698547
2,0.39215686274509803,-0.2096403978576895,0.38362573099415204,0.3873355263157895,0.3946153846153846,0.48026315789473684,0.7011885046958923
3,0.6666666666666666,0.19198508853681262,0.5718518518518518,0.584703947368421,0.6497093023255813,0.5740131578947368,0.6699697971343994
4,0.7254901960784313,0.47959183673469385,0.7253846153846154,0.7705592105263157,0.7653225806451613,0.9210526315789473,0.5202003717422485
5,0.8235294117647058,0.5823475887170155,0.7831837505904582,0.763157894736842,0.8902439024390244,0.7911184210526315,0.46012577414512634
6,0.8235294117647058,0.5823475887170155,0.7831837505904582,0.763157894736842,0.8902439024390244,0.7335526315789473,0.44457828998565674
7,0.8235294117647058,0.5823475887170155,0.7831837505904582,0.763157894736842,0.8902439024390244,0.875,0.39416229724884033
8,0.8235294117647058,0.592,0.7914584279872785,0.7738486842105263,0.8557692307692307,0.9046052631578947,0.38241639733314514
9,0.8627450980392157,0.6898349261511729,0.8432147562582345,0.8264802631578947,0.8832046332046333,0.9276315789473684,0.3661486506462097
10,0.8431372549019608,0.6494845360824743,0.823529411764706,0.8108552631578947,0.8500000000000001,0.9424342105263158,0.3481411337852478
11,0.8627450980392157,0.6898349261511729,0.8432147562582345,0.8264802631578947,0.8832046332046333,0.9342105263157895,0.33311882615089417
12,0.8823529411764706,0.7483552631578947,0.8741776315789473,0.8741776315789473,0.8741776315789473,0.962171052631579,0.2734524607658386
13,0.8627450980392157,0.7032418952618453,0.8515592515592516,0.8478618421052632,0.8560606060606061,0.9572368421052632,0.27720168232917786
14,0.8627450980392157,0.7032418952618453,0.8515592515592516,0.8478618421052632,0.8560606060606061,0.9588815789473684,0.2737107574939728
15,0.8823529411764706,0.7483552631578947,0.8741776315789473,0.8741776315789473,0.8741776315789473,0.9605263157894737,0.2742618918418884
16,0.9019607843137255,0.7925142392188771,0.8962148962148961,0.9004934210526316,0.8927419354838709,0.9605263157894737,0.28293105959892273
17,0.8823529411764706,0.7483552631578947,0.8741776315789473,0.8741776315789473,0.8741776315789473,0.962171052631579,0.30445414781570435
18,0.8627450980392157,0.7095199349064281,0.8547008547008547,0.8585526315789473,0.8516129032258064,0.9523026315789473,0.34144800901412964
19,0.8627450980392157,0.721311475409836,0.8592826172644856,0.8799342105263157,0.8564814814814814,0.9375,0.43288153409957886
20,0.8627450980392157,0.721311475409836,0.8592826172644856,0.8799342105263157,0.8564814814814814,0.9325657894736842,0.3996622860431671
21,0.803921568627451,0.5714285714285714,0.7853535353535354,0.7796052631578947,0.7941176470588235,0.9358552631578947,0.3561868369579315
22,0.8431372549019608,0.6494845360824743,0.823529411764706,0.8108552631578947,0.8500000000000001,0.9375,0.3319770395755768
